Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	ND	NT	a	b	c	d	e	f	non-b	Total
1015		1								1
1016		1								1
1017		3								3
1018		1								1
1019		1								1
1020		2								2
1021					2					2
1022		1								1
1023		1								1
1024		1								1
1025		3								3
1026		1								1
1027		1								1
1028		3								3
1029		1								1
1030		2								2
1031		1								1
1032		3								3
1033		1								1
1034		9								9
1035			1							1
1036		1								1
1037		2								2
1038		1								1
1039		1								1
1040		2								2
1041		4								4
1042		1								1
1043		2								2
1044		1								1
1045		1								1
1046		1								1
1047		1								1
1048		3								3
1049		1								1
1050		2								2
1051		1								1
1052		1								1
1053		1								1
1054		1								1
1055		1								1
1056		1								1
1057		1								1
1058		1								1
1059		1								1
1060		1								1
1061		1								1
1062		1								1
1063		4								4
1064		1								1
1065		1								1
1066		1								1
1067		1								1
1068		1								1
1069		4								4
1070		1								1
1071				1						1
1072		1								1
1073		1								1
1074		1								1
1075		1								1
1076		1								1
1077		1								1
1078		1								1
1079	1									1
1080	1									1
1081	1									1
1082	1									1
1083	1									1
1084	1									1
1085	1									1
1086	1									1
1087	1									1
1088	1									1
1089	1									1
1090	1									1
1091	1									1
1092	1									1
1093	1									1
1094	1									1
1095	1									1
1096	1									1
1097	1									1
1098	1									1
1099	1									1
1100	1									1
1101	1									1
1102	1									1
1103	1									1
1104	1									1
1105	1									1
1106	1									1
1107	1									1
1108	1									1
1109	1									1
1110	1									1
1111	1									1
1112	1									1
1113		1								1
1114		1								1
1115		1								1
1116		1								1
1117		1								1
1118		1								1
1119		1								1
1120		1								1
1121		1								1
1122		1								1
1123		1								1
1124								1		1
1125								3		3
1126								1		1
1127								2		2
1128				1						1
1129				1						1
1130				1						1
1131		4								4
1132		1								1
1133		1								1
1134		1								1
1135		1								1
1136		1								1
1137		1								1
1138		1								1
1139			1							1
1140		1								1
1141		1								1
1142								1		1
1143		3								3
1144		1								1
1145		1								1
1146		1								1
1147		1								1
1148		1								1
1149				1						1
1150		1								1
1151		1								1
1152		1								1
1153		1								1
1154								1		1
1155		1								1
1156								1		1
1157				1						1
1158		1								1
1159		1								1
1160		2								2
1161		1								1
1162		1								1
1163		1								1
1164		1								1
1165		1								1
1166		1								1
1167		1								1
1168		1								1
1169		1								1
1170		1								1
1171		1								1
1172		1								1
1173		1								1
1174		1								1
1175		1								1
1176		1								1
1177		1								1
1178		1								1
1179		1								1
1180		1								1
1181		1								1
1182		1								1
1183		1								1
1184		1								1
1185		1								1
1186		1								1
1187		1								1
1188								1		1
1189		1								1
1190		1								1
1191		3								3
1192		1								1
1193		1								1
1194		1								1
1195		1								1
1196		1								1
1197		1								1
1198		1								1
1199		1								1
1200		1								1
1201		1								1
1202		4								4
1203		1								1
1204		1								1
1205		1								1
1206		1								1
1207		1								1
1208							1			1
1209		1								1
1210				1						1
1211		1								1
1212		1								1
1213		1								1
1214		1								1
1215		6								6
1216		3								3
1217		1								1
1218		14								14
1219		1								1
1220		3								3
1221		3								3
1222		1								1
1223		3								3
1224		5								5
1225		1								1
1226		1								1
1227		1								1
1228		1								1
1229		1								1
1230		1								1
1231				1						1
1232		1								1
1233		1								1
1234		1								1
1235		1								1
1236		1								1
1237		1								1
1238		3								3
1239		1								1
1240		2								2
1241		1								1
1242		2								2
1243		1								1
1244		1								1
1245		1								1
1246		1								1
1247		1								1
1248		1								1
1249		1								1
1250		1								1
1251		1								1
1252		1								1
1253		1								1
1254		2								2
1255		1								1
1256		1								1
1257		1								1
1258		1								1
1259		1								1
1260		1								1
1261		1								1
1262		1								1
1263		1								1
1264		1								1
1265		1								1
1266		1								1
1267		1								1
1268	1									1
1269		1								1
1270		1								1
1271		1								1
1272		1								1
1273		1								1
1274		1								1
1275		1								1
1276		1								1
1277		1								1
1278		1								1
1279		1								1
1280		5								5
1281		3								3
1282		1								1
1283		1								1
1284								1		1
1285		1								1
1286		1								1
1287		1								1
1288						1				1
1289		1								1
1290			1							1
1291		1								1
1292		1								1
1293		1								1
1294		1								1
1295		1								1
1296		1								1
1297		1								1
1298		1								1
1299								1		1
1300		1								1
1301		1								1
1302		1								1
1303		1								1
1304		1								1
1305		1								1
1306		2								2
1307		1								1
1308		1								1
1309		1								1
1310		1								1
1311		1								1
1312		1								1
1313		1								1
1314		1								1
1316		1								1
1317		1								1
1318		1								1
1319		1								1
1320		1								1
1321		1								1
1322		1								1
1323		1								1
1324		1								1
1325								1		1
1326		3								3
1327	1									1
1328	1									1
1329	1									1
1330	1									1
1331	4									4
1332	2									2
1333	2									2
1334	2									2
1335	2									2
1336	2									2
1337	2									2
1338							1			1
1339	2									2
1340		1								1
1341	2									2
1342		1								1
1343	1	3								4
1344				1						1
1345				2						2
1346				1						1
1347				1						1
1348			1							1
1349				1						1
1350		1								1
1351		1								1
1352			1							1
1353		1								1
1354				1						1
1355		1								1
1356				1						1
1357		1								1
1358				1						1
1359				1						1
1360		1								1
1361				1						1
1362		1								1
1363		2								2
1364				1						1
1365		1								1
1366		1								1
1367		1								1
1368		1								1
1369		1								1
1370		1								1
1371		1								1
1372	1									1
1373	1									1
1374	1									1
1375	1									1
1376		1								1
1377	1	1								2
1378		1								1
1379		1								1
1380		1								1
1381		1								1
1382		1								1
1383		1								1
1384		1								1
1385		1								1
1386		1								1
1387		1								1
1388		1								1
1389		1								1
1390		3								3
1391		1								1
1392		1								1
1393		1								1
1394		1								1
1395		1								1
1396		1								1
1397		1								1
1398		1								1
1399		1								1
1400		1								1
1401	1	4								5
1402		1								1
1403		1								1
1404		1								1
1405		1								1
1406		1								1
1407		1								1
1408		1								1
1409		1								1
1410		1								1
1411		3								3
1412	1									1
1413	1									1
1414	1									1
1415	1									1
1416	1	2								3
1417	1	1								2
1418	1									1
1419	1									1
1420	1									1
